sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 2/ 766","Beach Road","2/ 766 Beach Road","Browns Bay","Auckland","$660,000","$495,000","1970-1979","100","0","$650,000","22 Feb 2017"
" 3/ 766","Beach Road","3/ 766 Beach Road","Browns Bay","Auckland","$730,000","$470,000","1970-1979","90","0","$565,000","3 May 2014"
" 4/ 766","Beach Road","4/ 766 Beach Road","Browns Bay","Auckland","$710,000","$460,000","1970-1979","70","0","$195,000","7 Aug 1998"
" 1/ 767","Beach Road","1/ 767 Beach Road","Browns Bay","Auckland","$500,000","$360,000","1970-1979","50","0","$183,000","15 Apr 2005"
" 10/ 767","Beach Road","10/ 767 Beach Road","Browns Bay","Auckland","$530,000","$400,000","1970-1979","50","0","$192,000","5 Jan 2004"
" 2/ 767","Beach Road","2/ 767 Beach Road","Browns Bay","Auckland","$500,000","$340,000","1970-1979","60","0","$470,000","2 Apr 2015"
" 3/ 767","Beach Road","3/ 767 Beach Road","Browns Bay","Auckland","$480,000","$340,000","1970-1979","60","0","$275,000","15 Mar 2009"
" 4/ 767","Beach Road","4/ 767 Beach Road","Browns Bay","Auckland","$480,000","$340,000","1970-1979","60","0","$286,000","16 May 2013"
" 5/ 767","Beach Road","5/ 767 Beach Road","Browns Bay","Auckland","$530,000","$380,000","1970-1979","50","0","$315,000","18 Sep 2012"
" 6/ 767","Beach Road","6/ 767 Beach Road","Browns Bay","Auckland","$500,000","$360,000","1970-1979","50","0","$520,000","23 Aug 2017"
" 7/ 767","Beach Road","7/ 767 Beach Road","Browns Bay","Auckland","$480,000","$340,000","1970-1979","50","0","$115,000","28 Aug 1996"
" 8/ 767","Beach Road","8/ 767 Beach Road","Browns Bay","Auckland","$450,000","$340,000","1970-1979","50","0","$445,000","6 Oct 2016"
" 9/ 767","Beach Road","9/ 767 Beach Road","Browns Bay","Auckland","$570,000","$340,000","1970-1979","50","0","$410,000","13 Nov 2014"
" 1/ 768","Beach Road","1/ 768 Beach Road","Browns Bay","Auckland","$690,000","$460,000","1970-1979","90","0","$360,000","23 May 2009"
" 2/ 768","Beach Road","2/ 768 Beach Road","Browns Bay","Auckland","$650,000","$430,000","1970-1979","90","0","$320,000","21 Sep 2005"
" 3/ 768","Beach Road","3/ 768 Beach Road","Browns Bay","Auckland","$680,000","$500,000","1970-1979","80","0","$630,000","12 Jun 2016"
" 4/ 768","Beach Road","4/ 768 Beach Road","Browns Bay","Auckland","$700,000","$460,000","1970-1979","100","0","$205,000","4 Aug 1998"
" 2/ 769","Beach Road","2/ 769 Beach Road","Browns Bay","Auckland","$660,000","$430,000","1970-1979","110","0","$165,000","1 Jan 1900"
" 3/ 769","Beach Road","3/ 769 Beach Road","Browns Bay","Auckland","$620,000","$440,000","1970-1979","90","0","$480,000","1 Apr 2015"
" 4/ 769","Beach Road","4/ 769 Beach Road","Browns Bay","Auckland","$640,000","$460,000","1970-1979","70","0","$345,000","20 Jan 2008"
" 1/770","Beach Road","1/770 Beach Road","Browns Bay","Auckland","$810,000","$670,000","1970-1979","200","0","",""
" 2/ 770","Beach Road","2/ 770 Beach Road","Browns Bay","Auckland","$860,000","$720,000","1990-1999","140","0","$720,000","5 Feb 2017"
" 3/ 770","Beach Road","3/ 770 Beach Road","Browns Bay","Auckland","$950,000","$630,000","1990-1999","150","0","",""
" 1/ 771","Beach Road","1/ 771 Beach Road","Browns Bay","Auckland","$730,000","$480,000","1970-1979","140","0","$380,000","17 May 2011"
