sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 28","Commissariat Road","28 Commissariat Road","Mount Wellington","Auckland City","$1,000,000","$950,000","1950-1959","184","0.0941","$106,777","13 Apr 1999"
" 32","Commissariat Road","32 Commissariat Road","Mount Wellington","Auckland City","$980,000","$950,000","1950-1959","118","0.0941","$245,000","25 Jun 1997"
" 34","Commissariat Road","34 Commissariat Road","Mount Wellington","Auckland City","$1,030,000","$1,000,000","1950-1959","104","0.0941","$54,000","15 Apr 1982"
" 43","Commissariat Road","43 Commissariat Road","Mount Wellington","Auckland City","$1,300,000","$920,000","1970-1979","245","0.0895","$280,000","20 Dec 2001"
" 45","Commissariat Road","45 Commissariat Road","Mount Wellington","Auckland City","$2,000,000","$920,000","Mixed/Remod","430","0.0875","$480,000","16 Oct 2007"
" 61","Commissariat Road","61 Commissariat Road","Mount Wellington","Auckland City","$995,000","$970,000","1920-1929","115","0.0885","$455,000","27 Feb 2009"
" 67","Commissariat Road","67 Commissariat Road","Mount Wellington","Auckland City","$1,030,000","$1,000,000","1950-1959","129","0.0928","$225,000","1 Jan 1900"
" 73","Commissariat Road","73 Commissariat Road","Mount Wellington","Auckland City","$995,000","$970,000","1950-1959","99","0.0824","$111,500","5 Jun 1993"
" 74","Commissariat Road","74 Commissariat Road","Mount Wellington","Auckland City","$1,000,000","$900,000","1960-1969","172","0.0835","$205,000","1 Jan 1900"
" 17","Coppins Road","17 Coppins Road","Mount Wellington","Auckland City","$650,000","$440,000","1950-1959","74","0.0791","$231,250","28 Jun 2005"
" 18","Coppins Road","18 Coppins Road","Mount Wellington","Auckland City","$700,000","$450,000","1950-1959","89","0.0835","$74,000","3 Jun 1987"
" 19","Coppins Road","19 Coppins Road","Mount Wellington","Auckland City","$700,000","$470,000","1950-1959","88","0.0903","$588,000","28 May 2015"
" 20","Coppins Road","20 Coppins Road","Mount Wellington","Auckland City","$670,000","$450,000","1950-1959","96","0.0804","$256,000","9 Nov 2009"
" 23","Coppins Road","23 Coppins Road","Mount Wellington","Auckland City","$860,000","$570,000","1950-1959","126","0.0948","$790,000","23 Jan 2017"
" 24","Coppins Road","24 Coppins Road","Mount Wellington","Auckland City","$830,000","$560,000","1950-1959","97","0.0851","$225,000","17 Jun 2003"
" 26","Coppins Road","26 Coppins Road","Mount Wellington","Auckland City","$910,000","$540,000","1960-1969","166","0.0766","$480,019","23 Sep 2008"
" 2","Cotswold Lane","2 Cotswold Lane","Mount Wellington","Auckland City","$920,000","$690,000","1960-1969","144","0.0819","$930,000","21 Jul 2016"
" 3","Cotswold Lane","3 Cotswold Lane","Mount Wellington","Auckland City","$880,000","$690,000","1960-1969","111","0.0797","$185,000","27 Feb 2002"
" 4","Cotswold Lane","4 Cotswold Lane","Mount Wellington","Auckland City","$910,000","$710,000","1960-1969","140","0.0851","$100,000","12 Nov 1987"
" 5","Cotswold Lane","5 Cotswold Lane","Mount Wellington","Auckland City","$880,000","$710,000","1960-1969","111","0.0883","$400,000","25 Sep 2009"
" 6","Cotswold Lane","6 Cotswold Lane","Mount Wellington","Auckland City","$930,000","$710,000","1960-1969","140","0.0964","$325,000","13 Jan 2005"
" 9","Cotswold Lane","9 Cotswold Lane","Mount Wellington","Auckland City","$880,000","$690,000","1960-1969","109","0.0769","$115,000","25 Jan 1991"
" 10","Cotswold Lane","10 Cotswold Lane","Mount Wellington","Auckland City","$910,000","$770,000","1960-1969","113","0.0756","$385,000","24 Jul 2007"
" 13","Cotswold Lane","13 Cotswold Lane","Mount Wellington","Auckland City","$960,000","$790,000","1960-1969","148","0.0857","$225,000","1 Jan 1900"
" 21","Cotswold Lane","21 Cotswold Lane","Mount Wellington","Auckland City","$930,000","$710,000","1960-1969","148","0.0873","$325,000","6 Nov 2004"
" 337","Ellerslie-Panmure Highway","337 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$910,000","$735,000","1970-1979","138","0.0753","$934,000","20 Feb 2017"
" 373","Ellerslie-Panmure Highway","373 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,055,000","$1,000,000","1950-1959","105","0.0822","$325,000","28 Oct 2003"
" 381","Ellerslie-Panmure Highway","381 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,120,000","$1,020,000","1950-1959","137","0.0822","$555,000","10 Aug 2008"
" 387","Ellerslie-Panmure Highway","387 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,150,000","$1,030,000","1950-1959","152","0.0835","$560,000","2 Oct 2007"
" 387A","Ellerslie-Panmure Highway","387A Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,010,000","$975,000","1970-1979","103","0.0819","$420,000","1 Mar 2012"
" 389A","Ellerslie-Panmure Highway","389A Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$950,000","$930,000","1960-1969","119","0.0784","$961,000","27 Jun 2015"
" 391","Ellerslie-Panmure Highway","391 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$900,000","$765,000","1960-1969","121","0.0784","$185,000","1 Jan 1900"
" 405B","Ellerslie-Panmure Highway","405B Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,080,000","$840,000","1970-1979","200","0.0966","$70,000","7 May 1986"
" 411","Ellerslie-Panmure Highway","411 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,055,000","$995,000","1950-1959","110","0.0809","$1,100,000","4 Mar 2015"
" 417","Ellerslie-Panmure Highway","417 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,550,000","$995,000","1980-1989","481","0.0809","$1,400,000","18 Apr 2016"
" 445","Ellerslie-Panmure Highway","445 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,100,000","$910,000","1940-1949","174","0.0856","$535,000","11 Aug 2012"
