sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m),Land Area (ha),Last Sale Price,Last Sale Date
"123","Weatherly Road","123 Weatherly Road","Torbay","Auckland","$970,000","$620,000","1970-1979","163","0.0671","$555,000","31 Mar 2008"
"124","Weatherly Road","124 Weatherly Road","Torbay","Auckland","$1,125,000","$690,000","1980-1989","230","0.0639","$657,000","27 Sep 2012"
"125","Weatherly Road","125 Weatherly Road","Torbay","Auckland","$1,025,000","$650,000","1980-1989","131","0.0659","$940,000","25 Nov 2017"
"126","Weatherly Road","126 Weatherly Road","Torbay","Auckland","$940,000","$690,000","1980-1989","147","0.0639","$960,000","9 Nov 2016"
"127","Weatherly Road","127 Weatherly Road","Torbay","Auckland","$1,325,000","$660,000","Mixed/Remod","275","0.0665","$600,000","16 Apr 2007"
"128","Weatherly Road","128 Weatherly Road","Torbay","Auckland","$1,100,000","$690,000","1980-1989","230","0.0893","$295,000","7 Apr 2002"
"129","Weatherly Road","129 Weatherly Road","Torbay","Auckland","$1,025,000","$690,000","1970-1979","160","0.0665","$375,000","8 Sep 2003"
"130","Weatherly Road","130 Weatherly Road","Torbay","Auckland","$1,100,000","$690,000","1980-1989","210","0.0943","$242,000","27 Aug 1994"
"131","Weatherly Road","131 Weatherly Road","Torbay","Auckland","$1,075,000","$690,000","1970-1979","150","0.0665","$412,500","30 Mar 2004"
"132","Weatherly Road","132 Weatherly Road","Torbay","Auckland","$1,175,000","$740,000","1980-1989","220","0.0661","$639,000","2 Nov 2012"
"133","Weatherly Road","133 Weatherly Road","Torbay","Auckland","$1,025,000","$740,000","1970-1979","150","0.074","$275,000","13 Oct 1995"
"134","Weatherly Road","134 Weatherly Road","Torbay","Auckland","$1,175,000","$740,000","1980-1989","240","0.0693","$553,000","7 Jun 2010"
"135","Weatherly Road","135 Weatherly Road","Torbay","Auckland","$1,000,000","$740,000","1970-1979","160","0.0707","$235,000","4 Apr 2000"
"136","Weatherly Road","136 Weatherly Road","Torbay","Auckland","$1,400,000","$740,000","1980-1989","240","0.0694","$1,450,000","4 Oct 2016"
"137","Weatherly Road","137 Weatherly Road","Torbay","Auckland","$1,025,000","$690,000","1980-1989","192","0.0945","$517,000","23 Feb 2012"
"138","Weatherly Road","138 Weatherly Road","Torbay","Auckland","$1,200,000","$690,000","1980-1989","220","0.0973","$285,000","1 Jan 1900"
"1/ 139","Weatherly Road","1/ 139 Weatherly Road","Torbay","Auckland","$835,000","$570,000","1980-1989","160","0","$638,000","3 Dec 2014"
"2/ 139","Weatherly Road","2/ 139 Weatherly Road","Torbay","Auckland","$795,000","$570,000","1980-1989","160","0","$190,000","1 Jan 1900"
"140","Weatherly Road","140 Weatherly Road","Torbay","Auckland","$1,075,000","$730,000","1980-1989","220","0.1036","$727,000","3 Nov 2012"
"1/ 141","Weatherly Road","1/ 141 Weatherly Road","Torbay","Auckland","$755,000","$570,000","1980-1989","140","0","$510,000","1 May 2010"
"2/ 141","Weatherly Road","2/ 141 Weatherly Road","Torbay","Auckland","$880,000","$570,000","1980-1989","120","0","$535,000","14 Feb 2013"
"142","Weatherly Road","142 Weatherly Road","Torbay","Auckland","$1,125,000","$730,000","1980-1989","260","0.1059","$285,000","1 Jan 1900"
"143","Weatherly Road","143 Weatherly Road","Torbay","Auckland","$1,200,000","$740,000","Mixed/Remod","229","0.071","$690,000","30 Jun 2012"
"144","Weatherly Road","144 Weatherly Road","Torbay","Auckland","$900,000","$730,000","1980-1989","120","0.1146","$918,000","16 Aug 2017"
"145","Weatherly Road","145 Weatherly Road","Torbay","Auckland","$1,175,000","$740,000","1970-1979","179","0.0731","$715,000","10 Dec 2012"
"146","Weatherly Road","146 Weatherly Road","Torbay","Auckland","$1,050,000","$730,000","1980-1989","220","0.122","$255,000","1 Jan 1900"
"147","Weatherly Road","147 Weatherly Road","Torbay","Auckland","$980,000","$740,000","1980-1989","91","0.0803","$495,000","4 Feb 2011"
"148","Weatherly Road","148 Weatherly Road","Torbay","Auckland","$1,225,000","$780,000","1970-1979","260","0.0685","$1,036,000","27 Jul 2015"
"149","Weatherly Road","149 Weatherly Road","Torbay","Auckland","$1,125,000","$740,000","1970-1979","210","0.0798","$575,000","20 Sep 2007"
"1/ 150","Weatherly Road","1/ 150 Weatherly Road","Torbay","Auckland","$960,000","$530,000","1970-1979","220","0","$775,000","22 Mar 2015"
"2/ 150","Weatherly Road","2/ 150 Weatherly Road","Torbay","Auckland","$970,000","$530,000","1970-1979","233","0","$750,000","28 Sep 2014"
"151","Weatherly Road","151 Weatherly Road","Torbay","Auckland","$1,075,000","$740,000","1970-1979","170","0.0685","$501,000","26 Apr 2009"
"152","Weatherly Road","152 Weatherly Road","Torbay","Auckland","$1,200,000","$540,000","1970-1979","210","0.045","$1,300,000","18 Nov 2016"
"152A","Weatherly Road","152A Weatherly Road","Torbay","Auckland","$1,175,000","$530,000","2010-2019","235","0.0544","$550,000","18 Sep 2015"
"153","Weatherly Road","153 Weatherly Road","Torbay","Auckland","$1,000,000","$690,000","1970-1979","130","0.0685","$230,000","1 Jan 1900"
"154","Weatherly Road","154 Weatherly Road","Torbay","Auckland","$1,375,000","$830,000","1970-1979","260","0.0981","$610,000","6 Sep 2005"
"155","Weatherly Road","155 Weatherly Road","Torbay","Auckland","$990,000","$690,000","1970-1979","141","0.0685","$600,000","28 May 2013"
"156","Weatherly Road","156 Weatherly Road","Torbay","Auckland","$1,430,000","$800,000","Mixed/Remod","283","0.0675","$262,500","19 May 2002"
"157","Weatherly Road","157 Weatherly Road","Torbay","Auckland","$890,000","$650,000","1980-1989","110","0.0685","$915,000","17 Mar 2016"
"158","Weatherly Road","158 Weatherly Road","Torbay","Auckland","$1,100,000","$830,000","1980-1989","170","0.0675","$267,500","25 Nov 2002"
"159","Weatherly Road","159 Weatherly Road","Torbay","Auckland","$980,000","$650,000","1970-1979","170","0.0685","$225,000","1 Jan 1900"
"160","Weatherly Road","160 Weatherly Road","Torbay","Auckland","$1,200,000","$830,000","Mixed/Remod","223","0.0675","$255,000","15 Jul 2001"
"161","Weatherly Road","161 Weatherly Road","Torbay","Auckland","$860,000","$650,000","1980-1989","90","0.0695","$807,000","3 Sep 2015"
"162","Weatherly Road","162 Weatherly Road","Torbay","Auckland","$1,000,000","$780,000","1970-1979","180","0.0675","$390,000","22 Mar 2005"
"163","Weatherly Road","163 Weatherly Road","Torbay","Auckland","$1,175,000","$650,000","1970-1979","250","0.0779","$658,000","19 Dec 2012"
"164","Weatherly Road","164 Weatherly Road","Torbay","Auckland","$1,100,000","$740,000","1980-1989","200","0.0675","$270,000","1 Jan 1900"
"166","Weatherly Road","166 Weatherly Road","Torbay","Auckland","$1,075,000","$690,000","1970-1979","120","0.0716","$532,000","28 Feb 2010"
"168","Weatherly Road","168 Weatherly Road","Torbay","Auckland","$870,000","$650,000","1980-1989","130","0.0693","$847,000","12 Mar 2016"
